source,redirected
"https://www-stage.pluralsight.com/cloud-guru/courses","https://www-stage.pluralsight.com/browse?categories=course"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-amazon-cognito","https://www-stage.pluralsight.com/courses/introduction-to-amazon-cognito"
"https://www-stage.pluralsight.com/cloud-guru/courses/puppet-quick-start","https://www-stage.pluralsight.com/courses/puppet-quick-start"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-kubernetes","https://www-stage.pluralsight.com/courses/introduction-to-kubernetes"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-networking-on-azure","https://www-stage.pluralsight.com/courses/introduction-to-networking-on-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/evolving-cloudformation-deployments-on-aws","https://www-stage.pluralsight.com/courses/evolving-cloudformation-deployments-on-aws"
"https://www-stage.pluralsight.com/cloud-guru/courses/aws-govcloud-beyond-the-buzzwords","https://www-stage.pluralsight.com/courses/aws-govcloud-beyond-the-buzzwords"
"https://www-stage.pluralsight.com/cloud-guru/courses/hands-on-troubleshooting-with-terraform","https://www-stage.pluralsight.com/courses/hands-on-troubleshooting-with-terraform"
"https://www-stage.pluralsight.com/cloud-guru/courses/devops-concepts","https://www-stage.pluralsight.com/courses/devops-concepts"
"https://www-stage.pluralsight.com/cloud-guru/courses/database-essentials","https://www-stage.pluralsight.com/courses/database-essentials"
"https://www-stage.pluralsight.com/cloud-guru/courses/certified-kubernetes-security-specialist-cks","https://www-stage.pluralsight.com/courses/certified-kubernetes-security-specialist-cks"
"https://www-stage.pluralsight.com/cloud-guru/courses/leveraging-instance-scheduler-to-reduce-cost-on-aws","https://www-stage.pluralsight.com/courses/leveraging-instance-scheduler-to-reduce-cost-on-aws"
"https://www-stage.pluralsight.com/cloud-guru/courses/suse-linux-enterprise-admin-review-and-exam-prep","https://www-stage.pluralsight.com/courses/suse-linux-enterprise-admin-review-and-exam-prep"
"https://www-stage.pluralsight.com/cloud-guru/courses/data-science-basics","https://www-stage.pluralsight.com/courses/data-science-basics"
"https://www-stage.pluralsight.com/cloud-guru/courses/application-services-for-associate-aws-solutions-architects","https://www-stage.pluralsight.com/courses/application-services-for-associate-aws-solutions-architects"
"https://www-stage.pluralsight.com/cloud-guru/courses/security-by-design-thinking-for-cloud-architects","https://www-stage.pluralsight.com/courses/security-by-design-thinking-for-cloud-architects"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-rancher","https://www-stage.pluralsight.com/courses/introduction-to-rancher"
"https://www-stage.pluralsight.com/cloud-guru/courses/linux-capacity-planning","https://www-stage.pluralsight.com/courses/linux-capacity-planning"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-azure-vmware-cloud-solution","https://www-stage.pluralsight.com/courses/introduction-to-azure-vmware-cloud-solution"
"https://www-stage.pluralsight.com/cloud-guru/courses/intro-to-serverless-on-azure","https://www-stage.pluralsight.com/courses/intro-to-serverless-on-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/big-data-essentials","https://www-stage.pluralsight.com/courses/big-data-essentials"
"https://www-stage.pluralsight.com/cloud-guru/courses/developing-kubernetes-operators-from-the-ground-up","https://www-stage.pluralsight.com/courses/developing-kubernetes-operators-from-the-ground-up"
"https://www-stage.pluralsight.com/cloud-guru/courses/amazon-detective-deep-dive","https://www-stage.pluralsight.com/courses/amazon-detective-deep-dive"
"https://www-stage.pluralsight.com/cloud-guru/courses/build-and-deploy-pipelines-with-microsoft-azure","https://www-stage.pluralsight.com/courses/build-and-deploy-pipelines-with-microsoft-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/mariadb-cluster-admin-deep-dive","https://www-stage.pluralsight.com/courses/mariadb-cluster-admin-deep-dive"
"https://www-stage.pluralsight.com/cloud-guru/courses/etl-and-elt-basics","https://www-stage.pluralsight.com/courses/etl-and-elt-basics"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-aws-security","https://www-stage.pluralsight.com/courses/introduction-to-aws-security"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-identity-and-access-management-iam","https://www-stage.pluralsight.com/courses/introduction-to-identity-and-access-management-iam"
"https://www-stage.pluralsight.com/cloud-guru/courses/eks-basics","https://www-stage.pluralsight.com/courses/eks-basics"
"https://www-stage.pluralsight.com/cloud-guru/courses/ansible-playbooks-deep-dive","https://www-stage.pluralsight.com/courses/ansible-playbooks-deep-dive"
"https://www-stage.pluralsight.com/cloud-guru/courses/azure-database-administrator-associate","https://www-stage.pluralsight.com/courses/azure-database-administrator-associate"
"https://www-stage.pluralsight.com/cloud-guru/courses/helm-deep-dive-v2","https://www-stage.pluralsight.com/courses/helm-deep-dive-v2"
"https://www-stage.pluralsight.com/cloud-guru/courses/concepts-for-securing-your-servers","https://www-stage.pluralsight.com/courses/concepts-for-securing-your-servers"
"https://www-stage.pluralsight.com/cloud-guru/courses/blockchain-explained","https://www-stage.pluralsight.com/courses/blockchain-explained"
"https://www-stage.pluralsight.com/cloud-guru/courses/managing-suse-linux-enterprise","https://www-stage.pluralsight.com/courses/managing-suse-linux-enterprise"
"https://www-stage.pluralsight.com/cloud-guru/courses/becoming-familiar-with-suse-linux-enterprise","https://www-stage.pluralsight.com/courses/becoming-familiar-with-suse-linux-enterprise"
"https://www-stage.pluralsight.com/cloud-guru/courses/practical-event-driven-security-with-aws","https://www-stage.pluralsight.com/courses/practical-event-driven-security-with-aws"
"https://www-stage.pluralsight.com/cloud-guru/courses/jenkins-fundamentals","https://www-stage.pluralsight.com/courses/jenkins-fundamentals"
"https://www-stage.pluralsight.com/cloud-guru/courses/red-hat-certified-specialist-in-performance-tuning-ex442","https://www-stage.pluralsight.com/courses/red-hat-certified-specialist-in-performance-tuning-ex442"
"https://www-stage.pluralsight.com/cloud-guru/courses/gui-programming-with-python","https://www-stage.pluralsight.com/courses/gui-programming-with-python"
"https://www-stage.pluralsight.com/cloud-guru/courses/how-to-get-started-with-azure","https://www-stage.pluralsight.com/courses/how-to-get-started-with-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/hands-on-with-haproxy-load-balancer","https://www-stage.pluralsight.com/courses/hands-on-with-haproxy-load-balancer"
"https://www-stage.pluralsight.com/cloud-guru/courses/advanced-storage-and-device-administration-in-linux","https://www-stage.pluralsight.com/courses/advanced-storage-and-device-administration-in-linux"
"https://www-stage.pluralsight.com/cloud-guru/courses/certified-entry-level-python-programmer-certification","https://www-stage.pluralsight.com/courses/certified-entry-level-python-programmer-certification"
"https://www-stage.pluralsight.com/cloud-guru/courses/cloud-computing-foundations","https://www-stage.pluralsight.com/courses/cloud-computing-foundations"
"https://www-stage.pluralsight.com/cloud-guru/courses/encryption-fundamentals","https://www-stage.pluralsight.com/courses/encryption-fundamentals"
"https://www-stage.pluralsight.com/cloud-guru/courses/getting-started-with-azure-machine-learning-studio","https://www-stage.pluralsight.com/courses/getting-started-with-azure-machine-learning-studio"
"https://www-stage.pluralsight.com/cloud-guru/courses/advanced-perspective-of-classes-and-object-oriented-programming-in-python","https://www-stage.pluralsight.com/courses/advanced-perspective-of-classes-and-object-oriented-programming-in-python"
"https://www-stage.pluralsight.com/cloud-guru/courses/how-to-source-a-container-image-and-start-a-container-in-the-cloud","https://www-stage.pluralsight.com/courses/how-to-source-a-container-image-and-start-a-container-in-the-cloud"
"https://www-stage.pluralsight.com/cloud-guru/courses/aws-certification-preparation-guide","https://www-stage.pluralsight.com/courses/aws-certification-preparation-guide"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-hybrid-environments-on-azure","https://www-stage.pluralsight.com/courses/introduction-to-hybrid-environments-on-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/kubernetes-security","https://www-stage.pluralsight.com/courses/kubernetes-security"
"https://www-stage.pluralsight.com/cloud-guru/courses/securing-applications-with-aws","https://www-stage.pluralsight.com/courses/securing-applications-with-aws"
"https://www-stage.pluralsight.com/cloud-guru/courses/build-your-own-linux-kernel-from-scratch","https://www-stage.pluralsight.com/courses/build-your-own-linux-kernel-from-scratch"
"https://www-stage.pluralsight.com/cloud-guru/courses/introduction-to-amazon-codeguru","https://www-stage.pluralsight.com/courses/introduction-to-amazon-codeguru"
"https://www-stage.pluralsight.com/cloud-guru/courses/microsoft-sql-server-on-linux-in-azure","https://www-stage.pluralsight.com/courses/microsoft-sql-server-on-linux-in-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/implementing-a-full-cicd-pipeline","https://www-stage.pluralsight.com/courses/implementing-a-full-cicd-pipeline"
"https://www-stage.pluralsight.com/cloud-guru/courses/managing-azure-resources-with-ansible","https://www-stage.pluralsight.com/courses/managing-azure-resources-with-ansible"
"https://www-stage.pluralsight.com/cloud-guru/courses/red-hat-certified-specialist-in-advanced-automation-ansible-best-practices-ex447","https://www-stage.pluralsight.com/courses/red-hat-certified-specialist-in-advanced-automation-ansible-best-practices-ex447"
"https://www-stage.pluralsight.com/cloud-guru/courses/kubernetes-and-cloud-native-associate-kcna","https://www-stage.pluralsight.com/courses/kubernetes-and-cloud-native-associate-kcna"
"https://www-stage.pluralsight.com/cloud-guru/courses/networking-foundations","https://www-stage.pluralsight.com/courses/networking-foundations"
