source,redirected
"https://www-stage.pluralsight.com/cloud-guru/courses/adopting-a-data-science-workflow-in-google-cloud-platform","https://www-stage.pluralsight.com/courses/google-cloud-big-data-machine-learning-fundamentals-6"
"https://www-stage.pluralsight.com/cloud-guru/courses/advanced-google-cloud-compute-engine","https://www-stage.pluralsight.com/browse?categories=course"
"https://www-stage.pluralsight.com/cloud-guru/courses/advanced-terraform-with-azure","https://www-stage.pluralsight.com/courses/advanced-terraform-with-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/advanced-terraform-with-gcp","https://www-stage.pluralsight.com/courses/getting-started-terraform-google-cloud"
"https://www-stage.pluralsight.com/cloud-guru/courses/architecting-deployment-pipelines-on-gcp","https://www-stage.pluralsight.com/courses/reliable-google-cloud-infrastructure-design-process-9"
"https://www-stage.pluralsight.com/cloud-guru/courses/automating-role-based-security-in-gcp","https://www-stage.pluralsight.com/courses/managing-security-google-cloud-7"
"https://www-stage.pluralsight.com/cloud-guru/courses/aws-certified-cloud-practitioner-clf-c02","https://www-stage.pluralsight.com/paths/aws-certified-cloud-practitioner-clf-c02"
"https://www-stage.pluralsight.com/cloud-guru/courses/aws-certified-developer-associate-dva-c02","https://www-stage.pluralsight.com/paths/aws-certified-developer-associate-dva-c01"
"https://www-stage.pluralsight.com/cloud-guru/courses/aws-certified-devops-engineer-professional-dop-c02","https://www-stage.pluralsight.com/paths/aws-certified-devops-engineer-professional"
"https://www-stage.pluralsight.com/cloud-guru/courses/aws-certified-machine-learning-specialty-mls-c01","https://www-stage.pluralsight.com/paths/aws-certified-machine-learning-specialty-mls-c01"
"https://www-stage.pluralsight.com/cloud-guru/courses/aws-certified-security-specialty-scs-c02","https://www-stage.pluralsight.com/paths/aws-certified-security-specialty-scs-c01"
"https://www-stage.pluralsight.com/cloud-guru/courses/aws-certified-solutions-architect-associate-saa-c03","https://www-stage.pluralsight.com/paths/aws-certified-solutions-architect-associate-saa-c03"
"https://www-stage.pluralsight.com/cloud-guru/courses/aws-certified-solutions-architect-professional-sap-c02","https://www-stage.pluralsight.com/paths/aws-certified-solutions-architect-professional-sap-c02"
"https://www-stage.pluralsight.com/cloud-guru/courses/aws-certified-sysops-administrator-associate-soa-c02","https://www-stage.pluralsight.com/paths/aws-certified-sysops-admin-associate"
"https://www-stage.pluralsight.com/cloud-guru/courses/az-104-microsoft-azure-administrator-certification-prep","https://www-stage.pluralsight.com/paths/az-104-microsoft-azure-administrator-certification-prep"
"https://www-stage.pluralsight.com/cloud-guru/courses/az-204-developing-solutions-for-microsoft-azure","https://www-stage.pluralsight.com/paths/az-204-developing-solutions-for-microsoft-azure"
"https://www-stage.pluralsight.com/cloud-guru/courses/az-220-microsoft-certified-azure-iot-developer-specialty","https://www-stage.pluralsight.com/browse?categories=course"
"https://www-stage.pluralsight.com/cloud-guru/courses/az-400-designing-and-implementing-microsoft-devops-solutions","https://www-stage.pluralsight.com/paths/az-400-designing-and-implementing-microsoft-devops-solutions"
"https://www-stage.pluralsight.com/cloud-guru/courses/azure-ai-engineer-associate-ai-102-computer-vision-solutions","https://www-stage.pluralsight.com/paths/azure-ai-engineer-associate-ai-102"
"https://www-stage.pluralsight.com/cloud-guru/courses/certified-information-systems-security-professional-cissp","https://www-stage.pluralsight.com/paths/cisspr-certified-information-systems-security-professional-exam-date-may-1-2021"
"https://www-stage.pluralsight.com/cloud-guru/courses/certified-kubernetes-administrator-cka","https://www-stage.pluralsight.com/paths/certified-kubernetes-administrator"
"https://www-stage.pluralsight.com/cloud-guru/courses/certified-kubernetes-application-developer-ckad","https://www-stage.pluralsight.com/paths/certified-kubernetes-application-developer-ckad-2023"
"https://www-stage.pluralsight.com/cloud-guru/courses/choosing-the-right-database-service-on-gcp","https://www-stage.pluralsight.com/courses/exploring-data-transformation-google-cloud"
"https://www-stage.pluralsight.com/cloud-guru/courses/comptia-cloud-cv0-003-practice-exam","https://www-stage.pluralsight.com/paths/comptia-cloud-cv0-003"
"https://www-stage.pluralsight.com/cloud-guru/courses/cost-control-on-gcp","https://www-stage.pluralsight.com/courses/optimizing-google-cloud-costs-1"
"https://www-stage.pluralsight.com/cloud-guru/courses/crash-course-on-google-cloud-platform","https://www-stage.pluralsight.com/browse?categories=course"
"https://www-stage.pluralsight.com/cloud-guru/courses/deploying-resources-to-gcp-with-terraform","https://www-stage.pluralsight.com/courses/getting-started-terraform-google-cloud"
"https://www-stage.pluralsight.com/cloud-guru/courses/establishing-an-organization-on-google-cloud-platform","https://www-stage.pluralsight.com/courses/essential-google-cloud-infrastructure-core-services-13"
"https://www-stage.pluralsight.com/cloud-guru/courses/gcp-cost-optimization-deep-dive","https://www-stage.pluralsight.com/courses/optimizing-google-cloud-costs-1"
"https://www-stage.pluralsight.com/cloud-guru/courses/gke-basics","https://www-stage.pluralsight.com/courses/getting-started-google-kubernetes-engine-13"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-certified-associate-cloud-engineer","https://www-stage.pluralsight.com/paths/cloud-engineering-with-google-cloud"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-certified-professional-cloud-architect","https://www-stage.pluralsight.com/paths/cloud-architecture-with-google-cloud"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-certified-professional-cloud-developer","https://www-stage.pluralsight.com/paths/developing-applications-with-google-cloud-platform"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-certified-professional-cloud-network-engineer-exam-prep-la-part-5","https://www-stage.pluralsight.com/paths/networking-in-google-cloud-platform"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-certified-professional-data-engineer","https://www-stage.pluralsight.com/paths/data-engineering-on-google-cloud-platform"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-ai-services-deep-dive","https://www-stage.pluralsight.com/paths/google-cloud-digital-leader-training"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-apigee-certified-api-engineer","https://www-stage.pluralsight.com/paths/developing-apis-with-google-clouds-apigee-api-platform"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-certified-cloud-digital-leader","https://www-stage.pluralsight.com/paths/google-cloud-digital-leader-training"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-certified-professional-cloud-security-engineer","https://www-stage.pluralsight.com/paths/security-in-google-cloud-platform"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-certified-professional-machine-learning-engineer","https://www-stage.pluralsight.com/paths/machine-learning-on-google-cloud-platform"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-ci-cd-pipelines-gcp-devops-engineer-track-part-3","https://www-stage.pluralsight.com/paths/devops-engineer-sre"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-devops-and-sres-gcp-devops-engineer-track-part-2","https://www-stage.pluralsight.com/paths/devops-engineer-sre"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-essentials","https://www-stage.pluralsight.com/courses/google-cloud-fundamentals-core-infrastructure-6"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-functions-deep-dive","https://www-stage.pluralsight.com/courses/developing-applications-google-cloud-foundations"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-hybrid-networking-gcp-network-engineer-track-part-3","https://www-stage.pluralsight.com/paths/networking-in-google-cloud-platform"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-identity-and-access-management-iam-deep-dive","https://www-stage.pluralsight.com/courses/managing-security-google-cloud-7"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-network-concepts-gcp-network-engineer-track-part-1","https://www-stage.pluralsight.com/paths/networking-in-google-cloud-platform"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-network-design-and-monitoring-gcp-network-engineer-track-part-4","https://www-stage.pluralsight.com/paths/networking-in-google-cloud-platform"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-network-management-gcp-network-engineer-track-part-2","https://www-stage.pluralsight.com/paths/networking-in-google-cloud-platform"
"https://www-stage.pluralsight.com/cloud-guru/courses/google-cloud-run-deep-dive","https://www-stage.pluralsight.com/courses/application-development-cloud-run"
