source,redirected
"https://www-stage.pluralsight.com/cloud-guru/labs","https://www-stage.pluralsight.com/browse?categories=labs"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/file-manipulation-with-ansible","https://www-stage.pluralsight.com/labs/aws/file-manipulation-with-ansible"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/advanced-s3-security-configuration","https://www-stage.pluralsight.com/labs/aws/advanced-s3-security-configuration"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/analyzing-kubernetes-yaml-files-for-security-best-practices","https://www-stage.pluralsight.com/labs/aws/analyzing-kubernetes-yaml-files-for-security-best-practices"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/troubleshooting-a-terraform-variable-interpolation-error","https://www-stage.pluralsight.com/labs/aws/troubleshooting-a-terraform-variable-interpolation-error"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/setting-up-multi-container-applications-in-openshift","https://www-stage.pluralsight.com/labs/aws/setting-up-multi-container-applications-in-openshift"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/recover-this-crashed-mariadb-galera-cluster","https://www-stage.pluralsight.com/labs/aws/recover-this-crashed-mariadb-galera-cluster"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/protect-a-kubernetes-cluster-with-apparmor","https://www-stage.pluralsight.com/labs/aws/protect-a-kubernetes-cluster-with-apparmor"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/debugging-kubernetes-using-logs","https://www-stage.pluralsight.com/labs/aws/debugging-kubernetes-using-logs"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/restart-this-running-mariadb-galera-cluster","https://www-stage.pluralsight.com/labs/aws/restart-this-running-mariadb-galera-cluster"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/using-ansible-modules-to-manage-archiving-in-your-environment","https://www-stage.pluralsight.com/labs/aws/using-ansible-modules-to-manage-archiving-in-your-environment"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/installing-and-configuring-php-fpm-on-ubuntu-linux","https://www-stage.pluralsight.com/labs/aws/installing-and-configuring-php-fpm-on-ubuntu-linux"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/configure-audit-logging-in-kubernetes","https://www-stage.pluralsight.com/labs/aws/configure-audit-logging-in-kubernetes"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/consuming-kafka-messages-with-multiple-consumer-groups","https://www-stage.pluralsight.com/labs/aws/consuming-kafka-messages-with-multiple-consumer-groups"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/working-with-couchbase","https://www-stage.pluralsight.com/labs/aws/working-with-couchbase"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/preparing-kubernetes-for-dynamic-admission-controllers","https://www-stage.pluralsight.com/labs/aws/preparing-kubernetes-for-dynamic-admission-controllers"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/troubleshooting-a-terraform-state-sync-issue","https://www-stage.pluralsight.com/labs/aws/troubleshooting-a-terraform-state-sync-issue"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/determining-the-reason-for-pod-failure","https://www-stage.pluralsight.com/labs/aws/determining-the-reason-for-pod-failure"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/creating-a-private-hosted-zone-and-associating-it-with-multiple-vpcs","https://www-stage.pluralsight.com/labs/aws/creating-a-private-hosted-zone-and-associating-it-with-multiple-vpcs"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/install-and-configure-an-http-server-apache","https://www-stage.pluralsight.com/labs/aws/install-and-configure-an-http-server-apache"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/encrypt-the-elasticsearch-transport-network","https://www-stage.pluralsight.com/labs/aws/encrypt-the-elasticsearch-transport-network"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/mapping-csv-rows-to-dictionaries","https://www-stage.pluralsight.com/labs/aws/mapping-csv-rows-to-dictionaries"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/troubleshooting-secrets-in-kubernetes-deployments","https://www-stage.pluralsight.com/labs/aws/troubleshooting-secrets-in-kubernetes-deployments"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/configuring-http-load-balancing-using-haproxy","https://www-stage.pluralsight.com/labs/aws/configuring-http-load-balancing-using-haproxy"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/deploy-and-test-vsftpd-server","https://www-stage.pluralsight.com/labs/aws/deploy-and-test-vsftpd-server"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/analyzing-a-dockerfile-for-security-best-practices","https://www-stage.pluralsight.com/labs/aws/analyzing-a-dockerfile-for-security-best-practices"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/creating-and-using-a-custom-document-with-parameter-store-variables","https://www-stage.pluralsight.com/labs/aws/creating-and-using-a-custom-document-with-parameter-store-variables"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/configuring-amazon-s3-buckets-to-host-a-static-website-with-a-custom-domain","https://www-stage.pluralsight.com/labs/aws/configuring-amazon-s3-buckets-to-host-a-static-website-with-a-custom-domain"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/linux-identity-management-and-file-sharing","https://www-stage.pluralsight.com/labs/aws/linux-identity-management-and-file-sharing"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/troubleshoot-service-errors-on-start","https://www-stage.pluralsight.com/labs/aws/troubleshoot-service-errors-on-start"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/exploring-basic-haproxy-monitoring-techniques","https://www-stage.pluralsight.com/labs/aws/exploring-basic-haproxy-monitoring-techniques"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/utilize-tcpdump-for-packet-capture","https://www-stage.pluralsight.com/labs/aws/utilize-tcpdump-for-packet-capture"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/working-with-streams-in-python","https://www-stage.pluralsight.com/labs/aws/working-with-streams-in-python"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/configure-logging-in-tomcat","https://www-stage.pluralsight.com/labs/aws/configure-logging-in-tomcat"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/configuring-a-custom-domain-with-cognito","https://www-stage.pluralsight.com/labs/aws/configuring-a-custom-domain-with-cognito"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/deploying-phpmyadmin-on-the-lemp-stack-on-ubuntu-linux","https://www-stage.pluralsight.com/labs/aws/deploying-phpmyadmin-on-the-lemp-stack-on-ubuntu-linux"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/adding-a-node-to-a-cluster-in-nomad","https://www-stage.pluralsight.com/labs/aws/adding-a-node-to-a-cluster-in-nomad"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/using-aws-config-to-monitor-cloudformation-stack-resources","https://www-stage.pluralsight.com/labs/aws/using-aws-config-to-monitor-cloudformation-stack-resources"
"https://www-stage.pluralsight.com/cloud-guru/labs/aws/configuring-kubernetes-pods","https://www-stage.pluralsight.com/labs/aws/configuring-kubernetes-pods"
